ORG.NR/PERS.NR;NAVN;ADRESSE;POSTNR;POSTSTED;LOK_NR;LOK_NAVN;LOK_KOM;LOK_PLASS;LOK_KAP;LOK_ENHET
930391328;AS BOLAKS;FUSAVEGEN 281;5640;EIKELANDSOSEN;13227;ALTANESET;BJØRNAFJORDEN;SJØ;2340;TN
930391328;AS BOLAKS;FUSAVEGEN 281;5640;EIKELANDSOSEN;22315;SKAVHELLA;BJØRNAFJORDEN;SJØ;3600;TN
930391328;AS BOLAKS;FUSAVEGEN 281;5640;EIKELANDSOSEN;24035;HÅVIKVÅGEN S;BJØRNAFJORDEN;SJØ;2340;TN
930391328;AS BOLAKS;FUSAVEGEN 281;5640;EIKELANDSOSEN;33337;LYNGNES;BJØRNAFJORDEN;SJØ;3120;TN
930391328;AS BOLAKS;FUSAVEGEN 281;5640;EIKELANDSOSEN;12067;ALDALEN;BJØRNAFJORDEN;SJØ;1560;TN
982326435;BOLSTAD BRUK AS;FLAKKAVÅGSVEGEN 12;5694;ONARHEIM;28796;SKOGSEIDVATNET III;BJØRNAFJORDEN;SJØ;75;TN
941541240;TOMBRE FISKEANLEGG AS;LEIRO 33;5640;EIKELANDSOSEN;31497;TOSKA N;ALVER;SJØ;3620;TN
930391328;AS BOLAKS;FUSAVEGEN 281;5640;EIKELANDSOSEN;13058;FUSAVIKA;BJØRNAFJORDEN;SJØ;3120;TN
930391328;AS BOLAKS;FUSAVEGEN 281;5640;EIKELANDSOSEN;13345;OTERSTEGDALEN;BJØRNAFJORDEN;SJØ;2340;TN
930391328;AS BOLAKS;FUSAVEGEN 281;5640;EIKELANDSOSEN;31117;SKRUBBO;BJØRNAFJORDEN;SJØ;3120;TN
930391328;AS BOLAKS;FUSAVEGEN 281;5640;EIKELANDSOSEN;10324;GJERDEVIKSFLUA;BJØRNAFJORDEN;SJØ;1560;TN
930391328;AS BOLAKS;FUSAVEGEN 281;5640;EIKELANDSOSEN;13229;DJUPEDALEN;BJØRNAFJORDEN;SJØ;1560;TN
924931671;AS SÆVAREID FISKEANLEGG;POSTBOKS 54;5644;SÆVAREID;10141;SÆVAREID;BJØRNAFJORDEN;LAND;0;STK
933889750;DRAGEID LAKS AS;LEIRO 33;5640;EIKELANDSOSEN;12103;DRAGEIDE;BJØRNAFJORDEN;LAND;393000;STK
939377697;AS FEMANGERLAKS;SUNDVORVEGEN 1112;5647;BALDERSHEIM;12112;FEMANGERVÅGEN;BJØRNAFJORDEN;LAND;0;STK
930391328;AS BOLAKS;FUSAVEGEN 281;5640;EIKELANDSOSEN;34537;NYSTØLVÅGEN II;BJØRNAFJORDEN;SJØ;25;TN
930391328;AS BOLAKS;FUSAVEGEN 281;5640;EIKELANDSOSEN;10137;MATLAND;BJØRNAFJORDEN;SJØ;780;TN
930391328;AS BOLAKS;FUSAVEGEN 281;5640;EIKELANDSOSEN;12110;NYSTØLEN;BJØRNAFJORDEN;LAND;210;TN
930391328;AS BOLAKS;FUSAVEGEN 281;5640;EIKELANDSOSEN;24495;NYSTØLVÅGEN;BJØRNAFJORDEN;SJØ;210;TN
980438619;K J EIDE FISKEOPPDRETT AS;EIKELANDSOSEN;5640;EIKELANDSOSEN;27956;SKOGSEIDVATNET II;BJØRNAFJORDEN;SJØ;50;TN
982326435;BOLSTAD BRUK AS;FLAKKAVÅGSVEGEN 12;5694;ONARHEIM;12096;OSPENES;BJØRNAFJORDEN;SJØ;715000;STK
941541240;TOMBRE FISKEANLEGG AS;LEIRO 33;5640;EIKELANDSOSEN;12042;SKOGSEIDVATNET;BJØRNAFJORDEN;SJØ;715000;STK
980438619;K J EIDE FISKEOPPDRETT AS;EIKELANDSOSEN;5640;EIKELANDSOSEN;12041;EIDESTØ;BJØRNAFJORDEN;LAND;105;TN
982326435;BOLSTAD BRUK AS;FLAKKAVÅGSVEGEN 12;5694;ONARHEIM;10145;UTLEBØEN;BJØRNAFJORDEN;LAND;15;TN
964118191;MOWI ASA;POSTBOKS 4102 SANDVIKEN;5835;BERGEN;13157;HERAND;ULLENSVANG;LAND;2500000;STK
966451238;ERKO SEAFOOD AS;CHRISTIAN MICHELSENS GATE 6B;5012;BERGEN;13234;KYSNES;ULLENSVANG;SJØ;1560;TN
966451238;ERKO SEAFOOD AS;CHRISTIAN MICHELSENS GATE 6B;5012;BERGEN;12081;STRAUMNESET;ULLENSVANG;SJØ;1560;TN
966451238;ERKO SEAFOOD AS;CHRISTIAN MICHELSENS GATE 6B;5012;BERGEN;12078;GANGDAL;ULLENSVANG;SJØ;1560;TN
966451238;ERKO SEAFOOD AS;CHRISTIAN MICHELSENS GATE 6B;5012;BERGEN;10300;HILLERSVIK;SVEIO;SJØ;2340;TN
964118191;MOWI ASA;POSTBOKS 4102 SANDVIKEN;5835;BERGEN;12032;ØYERHAMN;KVINNHERAD;LAND;2500000;STK
929363833;SJØTROLL HAVBRUK AS;SKIPAVIKA 54;5397;BEKKJARVIK;12075;SUNDAL;KVINNHERAD;LAND;2000000;STK
964118191;MOWI ASA;POSTBOKS 4102 SANDVIKEN;5835;BERGEN;28096;SLÅTTENES;KVINNHERAD;SJØ;780;TN
964118191;MOWI ASA;POSTBOKS 4102 SANDVIKEN;5835;BERGEN;10149;RAFDAL;ETNE;SJØ;1235;TN
964118191;MOWI ASA;POSTBOKS 4102 SANDVIKEN;5835;BERGEN;10147;TUNGESVIK;ETNE;SJØ;1235;TN
964118191;MOWI ASA;POSTBOKS 4102 SANDVIKEN;5835;BERGEN;12086;ALSÅKERVIK;KVINNHERAD;SJØ;780;TN
866751242;EIDE FJORDBRUK AS;STØAVEGEN 98;5640;EIKELANDSOSEN;45120;SKOTBERGET;KVINNHERAD;SJØ;3600;TN
866751242;EIDE FJORDBRUK AS;STØAVEGEN 98;5640;EIKELANDSOSEN;22095;HÅGARDSNESET;KVINNHERAD;SJØ;2340;TN
928801373;SUNNHORDLAND FJORDBRUK AS;FLAKKAVÅGSVEGEN 12;5694;ONARHEIM;13055;LANGØYNA Ø;TYSVÆR;SJØ;4680;TN
928801373;SUNNHORDLAND FJORDBRUK AS;FLAKKAVÅGSVEGEN 12;5694;ONARHEIM;15796;BORGARLIFLOT;SULDAL;SJØ;4680;TN
928801373;SUNNHORDLAND FJORDBRUK AS;FLAKKAVÅGSVEGEN 12;5694;ONARHEIM;12011;HÅØYA NØ;TYSVÆR;SJØ;2340;TN
929363833;SJØTROLL HAVBRUK AS;SKIPAVIKA 54;5397;BEKKJARVIK;11559;GRIMSHOLMEN;SVEIO;SJØ;3120;TN
979700121;VIKING FJORD AS;FLAKKAVÅGSVEGEN 12;5694;ONARHEIM;19396;SUNDE;KVINNHERAD;SJØ;1170;TN
866751242;EIDE FJORDBRUK AS;STØAVEGEN 98;5640;EIKELANDSOSEN;19655;OSPENESET;ALVER;SJØ;3120;TN
866751242;EIDE FJORDBRUK AS;STØAVEGEN 98;5640;EIKELANDSOSEN;13870;EIKEBÆRÅNÆ;ALVER;SJØ;1560;TN
920050042;ÆNES INKUBATOR AS;ÆNESVEGEN 200;5475;ÆNES;12084;ÆNES;KVINNHERAD;LAND;0;STK
960900626;LINGALAKS AS;GROVABROTET 8;5600;NORHEIMSUND;45066;LINGAHOLMANE;KVAM;SJØ;1560;TN
960900626;LINGALAKS AS;GROVABROTET 8;5600;NORHEIMSUND;10328;SAGVIK;KVAM;SJØ;2210;TN
960900626;LINGALAKS AS;GROVABROTET 8;5600;NORHEIMSUND;10338;DJUPEVIK;KVAM;SJØ;1560;TN
960900626;LINGALAKS AS;GROVABROTET 8;5600;NORHEIMSUND;12018;ROSSHOLMEN;KVAM;SJØ;500;TN
960900626;LINGALAKS AS;GROVABROTET 8;5600;NORHEIMSUND;12973;SALTKJELEN I;KVAM;SJØ;3120;TN
960900626;LINGALAKS AS;GROVABROTET 8;5600;NORHEIMSUND;30717;TVEITNES;KVAM;SJØ;2340;TN
979724551;BJØLVE BRUK AS;FLAKKAVÅGSVEGEN 12;5694;ONARHEIM;12172;BJØLVEFOSSEN;KVAM;LAND;8750000;STK
941541240;TOMBRE FISKEANLEGG AS;LEIRO 33;5640;EIKELANDSOSEN;12033;DYSVIK;KVAM;SJØ;2340;TN
