,localityNo,year,cleanerFish,comment,count,countCategory,countEstimated,countType,county,countyCode,createdDate,date,description,globalId,lastEditedDate,localityCapacity,localityName,municipalityNumber,objectId,parentId,recaptureDescription,recaptureStarted,recapturesCompleted,size,sizeEstimated,species,status,statusLocality,waterEnvironment,waterEnvironmentCode,week
82,45017,2022,False,,,1-10,1-10,estimert (MinSide) #,TROMS OG FINNMARK,54.0,2022-07-03T00:48:49+02:00,2022-05-27T08:20:00+02:00,"Stavtau er slitt vekk fra not, notlin revnet",{265A971D-1A33-4808-A695-8A2EE9D5FD3F},2022-07-03T00:48:49+02:00,8505.0,Bakfjorden,5434.0,88338.0,2583.0,Gjenfangstgarn,True,0.0,3.858,3.858,Laks,Del 1,KLARERT,SALTVANN,Salt,21.0
83,13341,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,19395,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,10283,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,12549,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,32537,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,13305,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,13843,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,13873,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,11749,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,31877,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,10183,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,39117,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,10862,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,18235,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,12255,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,12517,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,13845,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,12516,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,25055,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,27656,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,13964,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,27556,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,12095,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,45049,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,27295,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,10812,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,20396,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,30397,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,13872,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,11241,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,10146,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,12596,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,12598,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,10510,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,11930,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,12172,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,12178,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,32177,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,31738,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,12625,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,13174,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,31317,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,12507,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,22455,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,12308,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,10633,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,23436,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,34997,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,25975,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,13185,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,11340,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,11274,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,32957,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,13653,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,29458,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,19255,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,45072,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,12485,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
