loknr,areal_m2,loknr
11363,110348.93164063,11363
11364,124814.08398438,11364
11378,52471.08691406,11378
11381,77543.54101563,11381
11385,79453.78808594,11385
11399,39020.90820313,11399
11488,118830.84375,11488
11491,1940.19433594,11491
11492,108035.56103516,11492
11507,19758.5637207,11507
11508,208.09936523,11508
11509,1177.8840332,11509
11510,4237.30761719,11510
11513,68517.16870117,11513
11517,17198.4128418,11517
11525,68685.58203125,11525
11530,78662.33227539,11530
11534,83106.67553711,11534
11537,6642.18139648,11537
11559,30573.61914063,11559
11572,2074.27612305,11572
11574,70223.73095703,11574
11575,38995.17797852,11575
11593,2263.12304688,11593
11596,13233.765625,11596
11615,4429.92993164,11615
11624,14016.24487305,11624
11628,691.65625,11628
11633,37179.56518555,11633
11640,87500.3581543,11640
11643,30203.84716797,11643
11649,96971.76171875,11649
11653,6764.91381836,11653
11657,99595.46557617,11657
11665,104827.89770508,11665
11667,89739.01098633,11667
11688,199819.15063477,11688
11690,13253.00927734,11690
11714,87797.4855957,11714
11721,1002.35180664,11721
11736,86209.46508789,11736
11738,92170.3503418,11738
11740,107762.40942383,11740
11741,24918.20068359,11741
11743,25136.87744141,11743
11744,16097.53027344,11744
11749,104125.57788086,11749
11754,5469.49951172,11754
11758,112958.11352539,11758
11763,35946.71313477,11763
11767,11743.00683594,11767
11770,43238.79467773,11770
11772,16280.10595703,11772
11775,63077.26904297,11775
11776,28780.00512695,11776
11783,40920.02392578,11783
11786,116361.67651367,11786
11788,1082.46557617,11788
11791,84568.55566406,11791
11800,56100.76782227,11800
11809,64610.35595703,11809
11813,53864.27001953,11813
11814,81684.86767578,11814
11835,213528.76586914,11835
11854,185463.71069336,11854
11857,62924.6862793,11857
11861,104088.59765625,11861
11903,23729.10449219,11903
11907,32206.77905273,11907
11939,32235.99462891,11939
11957,82565.67651367,11957
11969,3551.65307617,11969
11971,148208.24487305,11971
12003,68080.27709961,12003
12007,29746.15039063,12007
12020,43585.40820313,12020
12022,34284.50634766,12022
12023,124892.62573242,12023
12033,56745.10351563,12033
12035,15722.50170898,12035
12036,19939.35864258,12036
12040,15052.2121582,12040
12067,27841.49755859,12067
12074,151593.86889648,12074
12077,35939.99389648,12077
12078,12195.26342773,12078
12081,11038.98339844,12081
12086,11828.45800781,12086
12095,31143.93920898,12095
12107,11520.86499023,12107
12108,162149.08691406,12108
12109,177578.38256836,12109
12128,30684.01391602,12128
12134,201511.11401367,12134
12158,1232.57666016,12158
12178,85197.55322266,12178
12192,62497.30541992,12192
12201,4634.58935547,12201
12202,2098.16796875,12202
12209,61221.86767578,12209
12212,71273.65161133,12212
12213,34868.57763672,12213
12233,50898.39404297,12233
12244,57587.2277832,12244
12260,14539.86206055,12260
12265,31802.57421875,12265
12268,37658.08300781,12268
12348,22634.31835938,12348
12371,2963.57080078,12371
12383,143391.27050781,12383
12406,26366.98535156,12406
12407,17774.92041016,12407
12590,64496.55615234,12590
12643,59592.37841797,12643
12667,10255.17285156,12667
12668,23226.84179688,12668
12671,34594.41308594,12671
12678,127070.18164063,12678
12682,96174.74414063,12682
12683,74899.74902344,12683
12714,63902.68115234,12714
12730,25550.62597656,12730
12746,19119.50537109,12746
12748,90699.50634766,12748
12752,66573.84277344,12752
12753,213049.83789063,12753
12754,100828.36962891,12754
12794,28848.55029297,12794
12811,131587.17626953,12811
12815,83406.03027344,12815
12829,36631.53515625,12829
12830,67703.53027344,12830
12832,7149.97363281,12832
12834,7286.54003906,12834
12837,273.78369141,12837
12844,29390.16064453,12844
12884,54020.89160156,12884
12904,66344.80224609,12904
12919,41842.43945313,12919
12973,100500.69775391,12973
12978,95534.86645508,12978
12980,218034.10424805,12980
13020,14281.54150391,13020
13021,40443.13037109,13021
13032,115066.17480469,13032
13057,59132.71166992,13057
13084,104505.29492188,13084
13119,60110.05761719,13119
13143,104531.54101563,13143
13196,15062.84667969,13196
13204,1805.52124023,13204
13205,24020.83911133,13205
13221,49496.50439453,13221
13228,105639.53857422,13228
13234,19317.27490234,13234
13236,178237.87036133,13236
13241,129420.98828125,13241
13243,121672.90356445,13243
13274,203670.28173828,13274
13305,67228.61035156,13305
13306,77450.97167969,13306
13316,121275.12402344,13316
13317,21832.29980469,13317
13339,16556.73242188,13339
13340,304037.07763672,13340
13345,77839.05615234,13345
13494,3355.56982422,13494
13501,18655.21337891,13501
13509,115450.46240234,13509
13531,167297.79101563,13531
13532,9173.91699219,13532
13549,80310.45458984,13549
13550,143385.35644531,13550
13562,98763.50708008,13562
13566,9625.95922852,13566
13568,103671.51733398,13568
13570,100782.79248047,13570
13572,52074.94091797,13572
13581,42676.13574219,13581
13582,24853.79589844,13582
13597,104034.80859375,13597
13612,158779.73632813,13612
13643,83027.6965332,13643
13654,2292.55126953,13654
13660,340.96777344,13660
13677,33601.34033203,13677
13685,3905.03710938,13685
13691,78907.96484375,13691
13704,43198.87841797,13704
13706,4628.75805664,13706
13708,7772.90771484,13708
13709,39857.10327148,13709
13720,3244.16894531,13720
13743,368768.22460938,13743
13744,25649.77929688,13744
13748,59901.63037109,13748
13804,14257.51757813,13804
13813,96165.13867188,13813
13838,43111.8125,13838
13841,70820.55078125,13841
13867,79679.67016602,13867
13870,10497.73852539,13870
13874,15192.51977539,13874
13876,62631.99169922,13876
13887,140110.29882813,13887
13905,11473.21582031,13905
13906,10483.38720703,13906
13949,95976.28125,13949
13959,41110.13085938,13959
14016,28431.06787109,14016
14035,49680.015625,14035
14039,15006.30395508,14039
14040,57504.83227539,14040
14041,60718.06689453,14041
14086,11502.50366211,14086
14117,1105.70898438,14117
14435,41785.47363281,14435
14715,39431.26855469,14715
15236,3785.36621094,15236
15396,3854.13671875,15396
15456,178952.72973633,15456
15460,174297.66992188,15460
15461,19953.44238281,15461
15462,98298.07910156,15462
15535,29370.2734375,15535
15657,103249.375,15657
15659,64884.29980469,15659
15860,101812.92480469,15860
15878,609.04296875,15878
15956,77438.921875,15956
15957,83548.00585938,15957
16015,101794.97363281,16015
16055,204450.25390625,16055
16255,110715.74609375,16255
16281,6842.40234375,16281
16496,84489.59814453,16496
16736,119713.80078125,16736
16755,112359.02416992,16755
16797,11130.55908203,16797
16895,54425.16137695,16895
17015,282767.99975586,17015
17077,169366.71972656,17077
17255,23147.75488281,17255
17276,5526.82714844,17276
17495,169339.70947266,17495
17576,2475.4309082,17576
17695,163.07666016,17695
17862,3110.13256836,17862
18015,157441.46801758,18015
18117,60602.6875,18117
18255,3112.42651367,18255
18275,22417.83007813,18275
18496,40563.75,18496
18657,134291.89404297,18657
18755,90405.17578125,18755
18775,45206.68359375,18775
19015,46077.37402344,19015
19135,78180.0703125,19135
19195,78893.67871094,19195
19255,318.73242188,19255
19655,97771.17724609,19655
19939,248933.11694336,19939
19977,54838.27392578,19977
20115,131629.09692383,20115
20176,4450.44433594,20176
20396,97702.54492188,20396
20515,2795.85522461,20515
20536,24637.48388672,20536
20595,117899.34594727,20595
20776,109523.93115234,20776
20797,115168.31689453,20797
21016,112726.22070313,21016
21235,2418.75415039,21235
21335,27984.33496094,21335
21336,34965.79052734,21336
21495,78496.8125,21495
21755,59956.85327148,21755
21975,102551.22216797,21975
22315,53170.86083984,22315
22335,92101.97290039,22335
22415,5807.02026367,22415
22775,81282.98193359,22775
22776,159635.14648438,22776
22915,151360.27001953,22915
23016,44842.43408203,23016
23035,4365.72753906,23035
23055,135696.85058594,23055
23676,1786690.88720703,23676
23755,77211.125,23755
23895,341344.81469727,23895
24115,180152.65478516,24115
24135,138889.99780273,24135
24175,60104.86914063,24175
24196,45518.67626953,24196
24197,99432.55615234,24197
24255,587695.234375,24255
24315,86964.93212891,24315
24455,61533.91918945,24455
24495,3828.2668457,24495
24575,172145.58691406,24575
24655,173462.52246094,24655
24695,42673.16748047,24695
24735,57217.61889648,24735
24937,14389.4543457,24937
24975,76297.79858398,24975
25055,80338.45922852,25055
25235,77473.67724609,25235
25815,70180.89257813,25815
25835,165434.25610352,25835
25855,84675.03808594,25855
25895,185080.05761719,25895
25896,185736.84350586,25896
25935,2965.49951172,25935
26055,95271.60351563,26055
26135,137462.64697266,26135
26155,35987.80859375,26155
26235,100203.38208008,26235
26295,154854.33178711,26295
26315,80190.92919922,26315
26335,101472.81982422,26335
26595,151511.22094727,26595
26615,34459.43847656,26615
26935,96170.11425781,26935
27015,77656.30273438,27015
27315,101111.97363281,27315
27737,6950.42382813,27737
28196,265124.36816406,28196
28396,131120.20117188,28396
28416,13282.82080078,28416
28776,43409.53857422,28776
28796,3234.84301758,28796
29276,99944.63037109,29276
29336,81997.77172852,29336
29416,79228.5625,29416
29458,16316.56542969,29458
29476,121134.26367188,29476
29557,146898.21679688,29557
29756,200065.01953125,29756
29816,83326.59350586,29816
29896,88803.89746094,29896
29936,71331.62841797,29936
29957,35625.71508789,29957
30076,184841.69628906,30076
30117,122499.51074219,30117
30137,43474.26123047,30137
30177,76363.56201172,30177
30196,1013.73510742,30196
30216,301762.27050781,30216
30217,50125.67871094,30217
30236,97485.32617188,30236
30257,256574.98388672,30257
30297,144534.43847656,30297
30417,1652.70507813,30417
30517,130250.84960938,30517
30559,132388.06152344,30559
30657,18293.88525391,30657
30757,53645.46679688,30757
30897,38890.32519531,30897
30997,81923.54394531,30997
31038,116857.21850586,31038
31097,9283.11132813,31097
31117,51131.39599609,31117
31137,61542.28222656,31137
31157,36906.84448242,31157
31177,49931.34375,31177
31297,185929.97851563,31297
31357,141960.84033203,31357
31398,97697.78515625,31398
31497,53816.34423828,31497
31697,86323.13696289,31697
31738,133413.21972656,31738
31757,119585.28417969,31757
31797,246070.33398438,31797
31817,115552.3671875,31817
31877,70473.01757813,31877
31917,62715.89453125,31917
31958,33970.14306641,31958
31997,4019.20019531,31997
32057,80823.91845703,32057
32097,64777.48876953,32097
32137,2397.5222168,32137
32197,85991.75854492,32197
32237,75365.67089844,32237
32257,62868.37792969,32257
32337,102893.28637695,32337
32357,3090.71582031,32357
32417,59298.10595703,32417
32518,185491.09643555,32518
32577,91583.72851563,32577
32598,96698.93554688,32598
32617,62191.87304688,32617
32637,107938.80078125,32637
32717,29337.55419922,32717
32757,100204.13916016,32757
32777,47936.85644531,32777
32857,66947.47485352,32857
32877,106852.52124023,32877
32917,91852.9609375,32917
32977,99404.73803711,32977
33017,85322.14282227,33017
33077,38048.04125977,33077
33097,143784.33300781,33097
33137,3883.796875,33137
33177,57978.44824219,33177
33197,62719.84472656,33197
33218,119230.79003906,33218
33377,14207.75927734,33377
33417,326866.86816406,33417
33437,60706.17773438,33437
33537,117363.24462891,33537
33577,63785.13769531,33577
33597,134159.1003418,33597
33677,60703.20922852,33677
33697,46474.0390625,33697
33777,96642.00976563,33777
33998,190145.19433594,33998
34018,64525.08935547,34018
34057,100740.19921875,34057
34077,1219.97363281,34077
34117,84078.27734375,34117
34377,3442131.79003906,34377
34457,147657.6328125,34457
34537,468.1105957,34537
34557,24135.69750977,34557
34558,25107.72583008,34558
34577,56908.77539063,34577
34657,41559.58520508,34657
34797,116181.20996094,34797
34897,56009.53320313,34897
35157,20678.55053711,35157
35177,18331.05517578,35177
35197,108001.82421875,35197
35237,109912.97265625,35237
35277,101160.33007813,35277
35297,85698.86181641,35297
35317,68426.11132813,35317
35318,80759.55859375,35318
35337,133484.25195313,35337
35397,20550.29150391,35397
35437,30375.04492188,35437
35497,80492.93115234,35497
35517,150509.91064453,35517
35557,24644.04785156,35557
35577,26986.73168945,35577
35597,126760.6875,35597
35797,152501.79003906,35797
35838,36354.42675781,35838
35877,154177.61962891,35877
35897,73077.34008789,35897
35997,82702.35546875,35997
36097,42874.01757813,36097
36098,40171.03686523,36098
36099,222917.42773438,36099
36137,0.0,36137
36138,468665.84228516,36138
36177,98497.28808594,36177
36178,136580.57226563,36178
36237,145385.45410156,36237
36257,145165.1796875,36257
36297,196714.07788086,36297
36457,140783.19042969,36457
36597,28267.41845703,36597
36617,166576.86572266,36617
36657,114656.22143555,36657
36677,17822.5234375,36677
36697,9110.96142578,36697
36717,101724.8984375,36717
36757,270492.16113281,36757
36797,192779.84375,36797
36917,98153.58007813,36917
36937,129852.09375,36937
36997,70600.02539063,36997
37097,676.12939453,37097
37217,110811.71679688,37217
37237,73191.54589844,37237
37357,206564.11328125,37357
37577,53290.51123047,37577
37597,115051.51171875,37597
37717,177540.69042969,37717
37757,55906.37768555,37757
37797,61251.3972168,37797
37817,99623.32641602,37817
37917,318292.75,37917
37957,26205.83178711,37957
38117,174750.38867188,38117
38137,253737.8034668,38137
38157,182423.66113281,38157
38177,94866.3293457,38177
38217,171027.8972168,38217
38237,123160.21801758,38237
38257,39415.67773438,38257
38337,239337.23925781,38337
38457,363597.11621094,38457
38497,97941.94726563,38497
38577,323941.87548828,38577
38737,141506.46264648,38737
38777,93332.03662109,38777
38837,26505.86523438,38837
38857,120799.19824219,38857
38877,143541.69921875,38877
38977,20284.10400391,38977
39137,40212.7890625,39137
39197,53867.53637695,39197
39237,41897.40795898,39237
39257,28930.50683594,39257
39277,287109.23217773,39277
39297,54351.00439453,39297
39417,39924.12646484,39417
39477,160536.22314453,39477
39657,106492.66455078,39657
39757,15378.60473633,39757
39797,14648.50927734,39797
39817,376419.57373047,39817
39917,130643.61889648,39917
40017,144170.99902344,40017
40097,47111.33496094,40097
40197,40299.80810547,40197
40217,78123.24511719,40217
13573,81724.60058594,13573
13271,88122.54394531,13271
38957,144010.80371094,38957
18936,98103.60351563,18936
10223,160610.18554688,10223
18217,51884.93432617,18217
32457,45970.47192383,32457
12659,62537.34033203,12659
12662,83633.59423828,12662
29356,85760.50390625,29356
11290,93000.07910156,11290
11922,19883.98706055,11922
12784,160269.078125,12784
12789,106951.42089844,12789
31717,67531.18896484,31717
19016,149350.0859375,19016
19115,144906.19189453,19115
19278,92985.09765625,19278
20075,165072.24316406,20075
21176,117043.5078125,21176
21516,69870.85546875,21516
25736,56373.08105469,25736
29697,33841.60351563,29697
30637,63895.34179688,30637
30957,95674.0703125,30957
31317,78805.27148438,31317
31677,159911.94067383,31677
38097,73396.20727539,38097
10990,121943.53466797,10990
11928,143209.48022461,11928
13518,117794.55566406,13518
35817,112518.73242188,35817
13563,178949.74316406,13563
40357,73868.18652344,40357
12993,76023.06738281,12993
10281,39210.96484375,10281
11511,171582.21704102,11511
29116,87443.00390625,29116
37557,49894.28320313,37557
40377,82856.390625,40377
45000,81289.421875,45000
22495,13347.26855469,22495
17176,95546.84570313,17176
45002,384099.36523438,45002
45004,271499.0234375,45004
45005,151824.93457031,45005
28676,126703.87207031,28676
13337,91096.06640625,13337
45007,0.0,45007
45008,0.0,45008
45010,155321.75292969,45010
45011,0.0,45011
45012,888.37158203,45012
45014,160042.78417969,45014
45015,15788.31445313,45015
26535,63800.44433594,26535
45016,324783.52978516,45016
45018,38652.47827148,45018
10298,57292.12963867,10298
10292,11072.45117188,10292
24035,78766.21826172,24035
10505,28612.79492188,10505
24615,182174.30712891,24615
11833,181786.3215332,11833
34397,115160.10302734,34397
10635,122784.35058594,10635
20576,87813.3828125,20576
11920,84652.32324219,11920
37177,68791.87744141,37177
10840,127591.453125,10840
14043,240117.171875,14043
39437,93831.49682617,39437
11435,75358.86206055,11435
27055,72379.74951172,27055
11248,46197.00292969,11248
15517,104343.70410156,15517
10029,59462.65625,10029
17357,149003.11083984,17357
16516,15914.22119141,16516
11339,134648.75976563,11339
11856,136497.45532227,11856
20897,123902.7578125,20897
37037,7355.30004883,37037
45024,190360.31591797,45024
45025,114304.91210938,45025
10544,71714.47070313,10544
13594,11052.40625,13594
10789,41868.78613281,10789
37297,116215.54296875,37297
32317,9004.77270508,32317
34137,207090.59765625,34137
36337,120363.41064453,36337
45030,0.0,45030
45031,0.0,45031
28976,86040.21875,28976
45032,214238.01025391,45032
13541,119378.24169922,13541
11225,73475.62304688,11225
12215,15827.07958984,12215
11793,7194.20507813,11793
12982,12268.53100586,12982
19355,154230.17578125,19355
12879,120107.09814453,12879
30036,188916.08032227,30036
45037,39472.67871094,45037
36100,125290.54345703,36100
11340,113818.19726563,11340
45038,146338.66674805,45038
19098,61831.82519531,19098
10753,70110.42382813,10753
11220,0.0,11220
36817,116104.74414063,36817
14799,120632.09887695,14799
37637,16704.70678711,37637
45040,254654.48803711,45040
13567,2697.34008789,13567
19396,4962.57568359,19396
12018,7872.10351563,12018
12156,21895.1237793,12156
19395,3268.20874023,19395
12019,9998.79711914,12019
13229,9827.24731445,13229
11533,6425.09716797,11533
15655,34849.35058594,15655
35957,245854.81542969,35957
11238,98942.75097656,11238
40037,128736.65454102,40037
28096,8284.27319336,28096
11405,39109.79101563,11405
39617,31775.20703125,39617
10974,25442.53076172,10974
15403,76928.36499023,15403
